Citations,Publication Year,Discipline,Sub-topic,Title,Author,Key,Abstract Note,Language
336,2009,arts_literary_cultural_studies,Regulative,The literature police: Apartheid censorship and its cultural consequences,PD McDonald,3QLGMPGK,"Censorship may have to do with literature', Nadine Gordimer once said,'but literature has nothing whatever to do with censorship… secret archives of the censorship bureaucracy, from the …",en
140,2009,communication_media_studies,Regulative,Press self-censorship in China: A case study in the transformation of discourse,J Tong,RCQS2QE7,This article examines the way in which newspaper discourse gets changed. Original reports of three social problem events that journalists sent to two different newsrooms and reports …,en
117,2009,communication_media_studies,Regulative,Organizational Production of Self-Censorship in the Hong Kong Media,"Lee, Francis L.F.; Chan, Joseph",7PL2J4PK,"Media self-censorship refers to nonexternally compelled acts committed by media organizations aiming to avoid offending power holders such as the government, advertisers, and major business corporations. While self-censorship constitutes a major threat to press freedom in Hong Kong under China, recent studies have shown that Hong Kong journalists have maintained a strong sense of professionalism. The coexistence of professionalism and self-censorship poses important challenges to news organizations: How is self-censorship effected as professionalism does not favor its practice? How can news organizations minimize the conflicts between self-censorship and professionalism so that news operations will remain stable, smooth, and efficient? Drawing on the literature on newsroom social control, we tackle the above questions by focusing on the internal structure of and the interactive dynamics within newsrooms. Methodologically, this study draws on both representative survey and in-depth interview data. It is found that self-censorship is effected through selective positioning and assignment, observational learning of tacit rules, the giving of ambiguous orders, and the use of professional or technical reasons to justify questionable news decisions. Meanwhile, some journalists also developed their own operational tactics to resist what they perceived as self-censorship attempts. The theoretical implications of the findings are discussed.",en
114,2009,arts_literary_cultural_studies,Regulative,The offensive art: Political satire and its censorship around the world from Beerbohm to Borat,L Freedman,9UP3X8HN,"The Offensive Art is an arch and sometimes caustic look at the art of political satire as practiced in democratic, monarchical, and authoritarian societies around the world over the past …",en
106,2009,education_pedagogy,Regulative,"Fight for your right: Censorship, selection, and LGBTQ literature","JS Curwood, M Schliesman, KT Horning",ZGZE28NF,"… other censorship resources on the NCTE website not only offer helpful guidance on censorship issues but also policy statements, such as the “Students’ Right to Read.” … York and Georgia to …",en
106,2009,history_book_history,Regulative,Translation and censorship in different times and landscapes,"ML Moniz, T Seruya",5SLDPZH9,… censorship goes along with this history. The chapter concerning the Bible translation alone shows how censorship … A striking example of censorship exerted by the translator upon the …,en
33,2009,science_technology_studies,Regulative,Is Peer Review Censorship?,"Casadevall, Arturo; Fang, Ferric C.",AI9KDG3C,"“A censor is an expert in cutting remarks.” —Laurence J. Peter ([22][1]) Given the unpleasantness of having one's work rejected ([10][2]), as well as a desire for more-rapid communication of scientific findings, some scientists have expressed nostalgia for the good old days when nearly any",en
22,2009,history_book_history,Regulative,Da censura à autocensura no Estado Novo,M Gama,H3ZU7FQA,,pt
16,2009,education_pedagogy,Regulative,Censorship in Three Metaphors,"Boyd, Fenice B.; Bailey, Nancy M.",P35MM3E8,,en
14,2009,history_book_history,Regulative,Una monarquía protegida por la censura,IA Olabeaga,P57LSP4F,Puede que usted piense que estas páginas constituyen un libro biográ-fico más sobre el rey y su familia. Últimamente ya no sólo se editan te-diosas obras laudatorias sobre D. Juan …,es
10,2009,history_book_history,Regulative,Sex and violence: the Hollywood censorship wars,"Pollard, Tom",UMNXR6L9,"Sex and Violence examines the history and social dynamics of film censorship in the United States. It examines censorship controversies throughout film history, from the beginning of cinema in the 1890s to the present. The book focuses both on formal censorship systems, including state and local censorship boards and industry self-regulation efforts, to unofficial censorship rendered by pressure groups and powerful social movements. It probes beneath the official rhetoric and explanations, revealing sensitive, festering controversies. The book critically examines dozens of Hollywood's most controversial (and interesting) movies, focusing on recurring issues and censorship themes. The book reveals the social and political processes of vetting films and their effect on film form and content. In addition, it examines the use of sexuality and violence in movies and the effects of movie censorship on those issues. Finally, it analyzes and makes recommendations for dramatic changes in motion picture ratings.",en
7,2009,law_legal_studies,Regulative,Les responsabilités liées aux contenus postés dans les blogs,Z Karambiri,J7TJQLPH,… Ce sera le cas lorsqu’il incite les internautes à créer des rubriques destinées à accueillir des contenus illicites ou lorsqu’il met lui-même de tels contenus sur son site . Sa responsabilité …,fr
6,2009,communication_media_studies,Regulative,Activité et contrôle de l'information sur un intranet d'entreprise: censure et régulation du discours sur le stress au travail,D Douyère,87V5QYJB,"… 3Nous proposons de considérer deux situations de « filtrage » ou de « censure », pour autant que ce dernier terme puisse être appliqué à l’entreprise – et non seulement à l’espace …",fr
3,2009,history_book_history,Regulative,La censure en France au XIXe siècle,JY Mollier,YUMDR6CC,"Dans un récent article consacré aux rapports entre papauté et culture au XIXe siècle1, Philippe Boutry rappelait l’importance du discours prononcé par l’ancien ministre de l’Instruction …",fr
1,2009,history_book_history,Regulative,"Censura, istituzioni e politica letteraria in URSS, 1964-1985","Zalambani, Maria",EXSJRCBU,"Soviet society has always been characterised by a marked institutional censorship which, in the face of the power of the written word, has set in motion a series of highly repressive institutions. However, censorship does not necessarily exert its power through forms of coercion; there are also approaches that are implemented through a complex network of cultural institutions that can ""produce"" society, expunging concepts and attitudes that are a threat to the system and at the same time masterminding a series of organisms designed to forge orthodox behaviour and mindframes, to the extent that the role of the external censor often becomes almost superfluous, being replaced by the ""censor of the soul"". This book seeks to bring to the fore this second type of censorship, albeit without neglecting the complex repressive machinery set in motion by Soviet power. Press Review: Il Giornale, L'INTERVISTA - MARIA ZALAMBANI: «Così Breznev censurò persino Sartre» a cura di Giuseppe Ghini, 19/04/2010",en
1,2009,arts_literary_cultural_studies,Regulative,Essere donna in Iran. La visione del cinema tra censura ed Islam,C Mendini,FQDSHATZ,"… severamente controllato dalla censura che non permette a … non è aggiogato alle restrizioni della censura. Il cinema, grazie … Inizialmente Khomeini aveva fatto appello alla moderazione, …",it
0,2009,censorship_studies,Regulative,La banalisation du concept de « censure »:,"Mbongo, Pascal",TUQLLHES,"Résumé Après avoir identifié un certain nombre d’exigences intellectuelles et méthodologiques d’un état relativement objectif de la liberté d’expression en France, cet article s’intéresse à cette manière spécifique de parler de la liberté d’expression qu’est la référence à « la censure ». Comment comprendre que les discours contre la censure soient si prégnants dans le débat public mais qu’ils semblent tourner à vide ? L’auteur fait l’hypothèse que ce doit être parce que le concept de censure est devenu un buzzword , un mot bourdonnant qui, s’il rend compte de certaines tensions nouvelles caractéristiques de la liberté d’expression, n’aide cependant pas à leur dépassement.",fr
0,2009,public_policy_governance,Regulative,Special report to Parliament: freedom of expression and freedom from hate in the Internet age,Canadian Human Rights Commission,DYL3PX3L,,en
148,2010,communication_media_studies,Regulative,USER-GENERATED CONTENT AND GATEKEEPING AT THE BBC HUB,"Harrison, Jackie",HUB3C34B,"This is an observational study of the way the BBC deals with user-generated content (UGC) at its UGC hub. It finds four types of UGC. First a form of unsolicited news story: second a form of solicited content for specific extant news stories; third a form of expeditious content for specific items and features, and fourth a form of audience watchdog content. The study also finds that UGC is routinely moderated by the BBC hub and that traditional gatekeeping barriers have evolved over time to ensure the maintenance of core BBC news values. The study concludes with the view that the extensive use of UGC at the BBC hub encourages the increasing use of ""soft journalism"", with as yet unknown consequences for the BBC.",en
119,2010,communication_media_studies,Regulative,Self-censorship and science: a geographical review of media coverage of climate tipping points,"Antilla, Liisa",SZMEMBRJ,"Public perception of global climate change is strongly influenced by media constructions of scientific knowledge. This paper explores recent scientific findings and the press coverage thereof and is based on a content analysis of two years of global reporting on climate related positive feedback mechanisms (climate system responses to global warming which lead to further warming). Results indicate that non-US news organizations, especially in the UK, are at the forefront of the discourse on climate feedback loops. Poor US press coverage on such climate thresholds might be understood not only as self-censorship, but as a “false negative” error.",en
113,2010,public_policy_governance,Regulative,"Internet Development, Censorship, and Cyber Crimes in China","Liang, Bin; Lu, Hong",4DQCZDFT,"Since its first Internet connection with the global computer network in 1994, China has witnessed explosive Internet development. By the end of 2008, China replaced the United States as the largest Internet user of the world. Although China enjoyed tremendous economic benefits from Internet development, the Chinese government has tried to maintain tight control over the telecommunications industry and the public Internet use, and fight increasing cyber crimes. In this article, we first review historical development of Internet use in China and then focus on China’s Internet censorship and its regulatory control. Next, we explore how the Internet is actively utilized by both the government and the public to serve political and civic functions. Finally, we discuss cyber crimes as an emergent form of crime in China and examine how the Chinese government reacts to these offenses. Lessons from Internet use and regulation in China are also discussed within the context of China’s economic, political, and legal conditions.",en
84,2010,communication_media_studies,Regulative,The online public space and popular ethos in China,"Li, Shubo",WDCK72AH,,en
14,2010,censorship_studies,Regulative,Censorship and Two Types of Self-Censorship,"Cook, Philip; Heilmann, Conrad",Y4M95FJX,"We propose and defend a distinction between two types of self-censorship: public and private. In public self-censorship, individuals restrain their expressive attitudes in response to public censors. In private self-censorship, individuals do so in the absence of public censorship. We argue for this distinction by introducing a general model which allows us to identify, describe, and compare a wide range of censorship regimes. The model explicates the interaction between censors and censees and yields the distinction between two types of self-censorship. In public self-censorship, the censee aligns her expression of attitudes according to the public censor. In private self-censorship, the roles of censor and censee are fulﬁlled by the same agent. The distinction has repercussions for normative analysis: principles of free speech can only be invoked in cases of public self-censorship.",en
14,2010,history_book_history,Regulative,"Gli studi italiani sui""libri per tutti""in antico regime: tra storia sociale, storia del libro e storia della censura",L Braida,H3NMT9AT,Negli ultimi vent’anni gli studi sui generi di larga circolazione in Europa hanno avuto un notevole sviluppo. Dalla riflessione comparativa sono emersi i principali nodi problematici che …,it
8,2010,arts_literary_cultural_studies,Regulative,A dimensão política da censura moral.,"MR Gomes, EB Casadei",P9SV9SXT,57a70_ART01_Gomes e Casadei.indd Page 1 Resumo. Este artigo apresenta os resultados de uma pesquisa sobre as palavras censuradas em peças teatrais. As peças estudadas …,pt
1,2010,history_book_history,Regulative,Le théâtre de Sartre devant la censure (1943-1944),I GaLster,Z7M3L384,"… Jean-Yves Mollier me donne l’occasion, à deux mois de la retraite, de revenir sur la censure … C’est ainsi que je me suis intéressée à la censure. Un chercheur britannique venait d’écrire …",fr
0,2010,law_legal_studies,Regulative,"La France, censeur mondial de la recherche universitaire?","H HOFMANN, G CUNIBERTI",CYVD78HK,"Mais à la source du problème, il y a la prétention croissante des juges (particulièrement le clan des signataires de"" l'Appel de Genève"", style Eva Joly) de s' affranchir des limites …",fr
0,2010,history_book_history,Regulative,PETER D. MCDONALD. The Literature Police: Apartheid Censorship and Its Cultural Consequences.,"Brittan, A.",W4PVL4HM,"Journal Article peter d. mcdonald. The Literature Police: Apartheid Censorship and Its Cultural Consequences. Get access Peter D. McDonald.The Literature Police: Apartheid Censorship and Its Cultural Consequences. Pp. xvi + 416. Oxford: Oxford University Press, 2009. Cloth, £25. Alice Brittan Alice Brittan Dalhousie University abrittan@Dal.ca Search for other works by this author on: Oxford Academic Google Scholar The Review of English Studies, Volume 61, Issue 248, February 2010, Pages 163–165, https://doi.org/10.1093/res/hgp095 Published: 21 October 2009",en
146,2011,computer_science_ai,Regulative,Internet Censorship in China: Where Does the Filtering Occur?,"Xu, Xueyang; Mao, Z. Morley; Halderman, J. Alex",7DXQ5CYF,"China ﬁlters Internet traﬃc in and out of the country. In order to circumvent the ﬁrewall, it is helpful to know where the ﬁltering occurs. In this work, we explore the AS-level topology of China’s network, and probe the ﬁrewall to ﬁnd the locations of ﬁltering devices. We ﬁnd that even though most ﬁltering occurs in border ASes, choke points also exist in many provincial networks. The result suggests that two major ISPs in China have diﬀerent approaches placing ﬁltering devices.",en
123,2011,political_science_ir,Regulative,Geographies of global Internet censorship,"Warf, Barney",VAHTWPZG,"More than one-quarter of the planet’s population uses the Internet today, although access to it is highly uneven throughout the world. While it is widely celebrated for its emancipatory potential, many governments view the Internet with alarm and have attempted to limit access or to control its contents. This project seeks to provide a comprehensive, theoretically informed analysis of the geographies of Internet censorship. It begins by clarifying the reasons, types, extent of, and opposition to, government limitations of Internet access and contents. Invoking an index of censorship by Reporters Without Borders, it maps the severity of censorship worldwide and assesses the numbers of people affected, and using the Freedom House index, it correlates political liberty with penetration rates. Second, it explores Internet censorship at several levels of severity to explicate the multiple means through which censorship is implemented and resisted. The third part offers a moral critique of Internet censorship via a Habermasian interpretation of cyberspace as the closest real-world approximation of an ideal speech situation. The summary notes the paradox of growing e-government and continued fears of an expanded domain of public discourse.",en
107,2011,arts_literary_cultural_studies,Regulative,Citation and Censorship: The Politics of Talking About the Sexual Politics of Israel,"Puar, Jasbir",VEM8JZN6,"In response to critics’ claims that a discussion of sexuality and nationalism vis-a`-vis the Israeli-Palestinian conﬂict bears no relation to the author’s previous work, or to such discussions within the US or European contexts, this paper details the complex interconnections between Israeli gay and lesbian rights and the continued oppression of Palestinians. The ﬁrst section examines existing discourses of what the author has previously called ‘‘homonationalism,’’ or the process by which certain forms of gay and lesbian sexuality are folded into the national body as the Muslim/Arab Other is cast as perversely queer, within Israel and the diasporas. The operations of homonationalism ensure that no discussion of gay and lesbian rights in Israel is independent from the state’s actions toward Palestine/Palestinians. The second section contains a critique of Israel’s practices of ‘‘pinkwashing’’ in the US and Europe. In order to redirect focus away from critiques of its repressive actions toward Palestine, Israel has attempted to utilize its relative ‘‘gay-friendliness’’ as an example of its commitment to Western ‘‘democratic’’ ideals. Massive public relations campaigns such as ‘‘Brand Israel’’ work to establish Israel’s reputation within the US and Europe as cosmopolitan, progressive, Westernized and democratic as compared with the backward, repressive, homophobic Islamic nations, which, in turn, serves to solidify Israel’s aggression as a position of the ‘‘defense’’ of democracy and freedom. The ﬁnal section looks at the ways in which accusations of ‘‘anti-Semitism’’ function in academic and activist contexts to suppress critiques of the implicit nationalism within Israeli sexual politics.",en
88,2011,computer_science_ai,Regulative,Censmon: A web censorship monitor,A Sfakianakis,EZP3SJ7P,"… Lab’s [9] nodes, to create a worldwide web censorship monitor, (ii) it uses plug-in feed … sys- 1 Introduction tem for censorship-checking, and (iii) we maintain his- Censorship on the world …",en
68,2011,political_philosophy,Regulative,Rethinking the subaltern and the question of censorship in Gramsci's <i>Prison Notebooks,"Green, Marcus E",RUUI5V95,"This article attempts to provide a new reading of Antonio Gramsci's concept of subaltern social groups. Through a philological analysis of Gramsci's complete Prison Notebooks, the article puts into question the widespread (mis)interpretation in subaltern studies and postcolonial literature that Gramsci developed the phrase 'subaltern social groups' as code for the word 'proletariat' in his Prison Notebooks in order to deceive prison censors. The article first demonstrates how the diffusion of the 'subaltern censorship thesis' has limited current interpretations of Gramsci's concept of the subaltern to strictly class terms. Then, through an exegesis of Notebook 25—the thematically organized 'special notebook' entitled 'On the Margins of History. History of Subaltern Social Groups'—the article demonstrates that there is no textual evidence to support the censorship thesis. Finally, through an examination of several notes in Notebook 25, the article provides an extrapolation of Gramsci's concept of subalternity. The article shows that Gramsci's concept of the subaltern is not limited to class relations and that in fact subalternity in the Gramscian sense encompasses an intersectionality of race, class, gender, and religion. For Gramsci, subalternity is constituted through constructions of identity, otherness, and marginality that are reinforced within an ensemble of social, political, and economic relations. In contrast to the current literature, this article attempts to show that Gramsci's concept of the subaltern is more complex than often recognized and that his analysis of subalternity relates to the function of intellectuals, constructions of identity and otherness, historiography, representation, the national popular, coloniality, and political organization. Overall, the article provides avenues to rethink contemporary relations of subordination, marginality, and subalternity from a Gramscian perspective.",en
37,2011,history_book_history,Regulative,Censura y control: La Campaña Nacional de Moralización en los años cincuenta,L Pérez Rosales,J3VSFYIA,"En el contexto de la Guerra Fría, la jerarquía católica mexicana y el Estado mexicano midieron fuerzas, entre otros escenarios, en los programas de radio, en la cultura, el teatro o …",es
32,2011,communication_media_studies,Regulative,Online contribution practices in countries that engage in internet blocking and censorship,"Shklovski, Irina; Kotamraju, Nalini",6TUS8RFH,"In this article we describe people’s online contribution practices in contexts in which the government actively blocks access to or censors the Internet. We argue that people experience blocking as confusing, as a motivation for self-censorship online, as a cause of impoverishment of available content and as a real threat of personal persecution. Challenging ideas of blocking as a monolithic, abstract policy, we discuss five strategies with which Internet users navigate blocking: self-censorship, cultivating technical savvy, reliance on social ties to relay blocked content, use of already blocked sites for content production as a form of protection and practiced transparency. We also discuss strategies that forum owners and blogging platform providers employ to deal with and to avoid blocking. We conclude by advocating for more research that acknowledges the complexity of the contexts in which all Internet users contribute to the Internet and social media.",en
31,2011,political_philosophy,Regulative,Self-Censorship,"Horton, John",2VFYKCYI,"This article seeks to explore the conceptual structure and moral standing of an idea that has received almost no attention from analytical philosophers: selfcensorship. It is argued that at the heart of the concept is a tension between the thoughts of the self-censor as, on the one hand, the author, and on the other, the instrument, of the censorship. Which of these aspects is emphasised also importantly helps shape how self-censorship is viewed normatively. Focusing on authorship tends to lead to seeing self-censorship as more akin to a freely chosen act of self-restraint, while focusing on the self-censor as instrument presents it as one speciﬁc form of ordinary censorship. It is the tension between these two aspects that accounts for the moral ambivalence that is often felt towards the practice of selfcensorship.",en
7,2011,law_legal_studies,Regulative,Collateral Censorship and the Limits of Intermediary Immunity,"Wu, Felix T",AGPWNGA9,"The law often limits the liability of an intermediary for the speech it carries. And rightly so, because imposing liability on intermediaries can induce them to filter out questionable content and this “collateral censorship” risks suppressing much lawful, even highly beneficial, speech. The “collateral censorship” rationale has its limits, though, and correspondingly, so should the applicability of intermediary immunity. The worry with collateral censorship is not just that intermediaries censor, but that they censor more than an original speaker would in the face of potential liability. Increased censorship, in turn, is the product of applying liability targeted at original speakers to entities whose interests diverge from original speakers. Where the “intermediary” has the interests of an original speaker, and so should be regarded as one, or where the form of liability already takes into account the intermediary’s interests, collateral censorship is not the problem, and immunity is not the right response. This understanding should, in particular, inform the interpretation of section 230 of the Communications Decency Act of 1996, a federal statute that broadly immunizes Internet intermediaries from speech torts and many other forms of liability. In cases involving the republication of e-mails, questionnaires, member screening, and contract claims, among others, courts have begun to explore the limits of this immunity, but have done so haphazardly and inconsistently, having largely lost sight of the underlying rationale for immunity. Focusing on the conditions that generate problematic collateral censorship provides a principled basis upon which to define the limits of intermediary immunity generally, and section 230 in particular.",en
5,2011,arts_literary_cultural_studies,Regulative,THE ART OF CENSORSHIP IN VIETNAM,"Libby, Samantha",PQNZSMX8,"Vietnam now participates in a capitalist market and keeps its borders open, but it still imposes a dated yet effective communist matrix of control over the country's media outlets. This article examines the effectiveness of this system of control with respect to visual art. I find that contemporary art in particular is able to communicate--and express frustrations with--the tensions between rapid economic development and political stagnation, and between cultural traditionalism and modernization. Art can speak with relative impunity because its meaning is more difficult to pinpoint than written criticism of the regime. However, it is important to note that few, if any, Vietnamese artists advocate a change of regime. Instead, they emphasize their concerns about tensions in society caused by rapid development and its effect on centuries-old traditions. current one-party regime certainly contributes to this tension, but it would be an oversimplification to call these artists protest artists; rather, they act as a lens through which both Vietnamese citizens and outsiders get an honest and unbiased view of a country that is too often thought of in terms of colonialism or war. ********** In Vietnam, all art exhibitions must apply for an official exhibition permit from the Ministry of Culture, Sports and Tourism. purpose of the board is to regulate the exposure of art to the general public according to the state's wishes and needs. In interviews for this article, several artists and art dealers--all of whom asked to remain anonymous--said that the Ministry is so disorganized and steeped in corruption that it does not do a thorough job of censoring content. As a result, the artist has possibly the freest voice in Vietnam. In December 2010, I was working at the Bui Gallery in Hanoi and submitted two paintings, Stop and The Last Party by the artist Pham Huy Thong, to the Ministry. Only one was approved. police insisted that the gallery remove Stop from the exhibition but had no complaints about the second picture. Foreign guests of the gallery expressed shock at The Last Party, wondering how such a piece could be displayed in a public, for-profit art gallery in a communist country. (Reproductions of the paintings discussed in this article are located in the Images section of this issue on pages 238 to 240.) decision to remove one painting and ignore the other highlights the failure of Vietnam's policy of control and demonstrates the fundamentally self-defeating nature of censorship. Vietnam is in a unique position historically; it embraces Western capitalism and development and shuns the value system that brought the elites of the Socialist Republic of Vietnam to power. push and pull between modernity and Confucian and communist traditionalism can be felt in every corner of Vietnamese society, and contemporary art has become the clearest outlet for this tension. However, this conflict is largely hidden from those outside Vietnam. Tourists enjoy their steaming bowls of pho and cyclos and marvel at the maddening traffic and cheap souvenirs. They would be right to wonder, amid rising skyscrapers, bustling shops, a growing economy and the well-dressed, mostly well-fed population: Where is the oppression? Where are the gross human rights abuses? Is freedom of speech really possible in a communist country? In fact, human rights activists have recently called attention to an upsurge in the arrest of bloggers, religious figures and activists and to a host of constraints on freedom of speech. (1) How then can art--specifically contemporary visual art, a discipline that prides itself on freedom of expression--sustain itself and thrive in a communist state? To understand this duality, it is necessary to discuss Vietnamese history before the American War or the Communist Revolution, when the fine arts tradition, the backbone of the contemporary Vietnamese art movement, first developed. …",en
3,2011,history_book_history,Regulative,La censura libraria,V Frajese,5FSVRYMV,"… loro: tanto la censura dottrinale di un testo quanto la censura … si svolgevano sotto condizione di censura penale per i … censura, d’altra parte, convergevano nell’uso della censura …",it
2,2011,sociology_anthropology,Regulative,Censura na América,MR Martins,YGHD534I,"… O aspecto da sociedade americana mais criticado neste livro é a censura, e, associados a … duas situações de censura, uma de censura à ciência, e outra de censura ao cinema. …",pt
0,2011,arts_literary_cultural_studies,Regulative,CENSURE ET EUPHÉMISME,M Gurgu,KKPJB7UT,,und
0,2011,arts_literary_cultural_studies,Regulative,AS CICATRICES DA CENSURA NA NOVA NARRATIVA GALEGA,MT Montes,AJISTPAS,"… censura impõe sempre a moderação do discurso. Deste modo, a inibição da comunicação pode considerar-se um dos resultados intratextuais da censura… -se o recurso à moderação. A …",pt
0,2011,censorship_studies,Regulative,Censura indirecta y publicidad oficial,Saba Roberto,ATL82OMQ,,es
105,2012,history_book_history,Regulative,The censorship files: Latin American writers and Franco's Spain,A Herrero-Olaizola,H6NWAJB7,"… My study implicitly addresses the relation between forms of censorship and book production, … censorship files unintentionally epitomized in their reports this relation between censorship …",en
100,2012,arts_literary_cultural_studies,Regulative,Censorship and sexuality in Bombay cinema,M Mehta,G97ICKU8,"… the censorship of gender and heterosexuality in Bombay cinema. She studies how film censorship … The standard claim is that the state dictates censorship and various prohibitions, but …",en
83,2012,computer_science_ai,Regulative,A taxonomy of Internet censorship and anti-censorship,"CS Leberknight, M Chiang, HV Poor…",MCGEWVG6,… Technology has often served as a major obstacle and catalyst for mandating censorship. … of censorship. The task of maintaining the status-quo through effective censorship policies is …,en
80,2012,communication_media_studies,Regulative,Old Tricks in a New Era: Self-Censorship in Indonesian Journalism,"Tapsell, Ross",BKA5K4L9,"Even though Indonesia has entered a new era of democracy and press freedom, self-censorship still exists in the professional practice of many Indonesian newspaper journalists. Indonesia has a long history of censorship, particularly pressure from the government encouraging journalists to self-censor their work. As such, self-censorship has been encouraged and promoted through the institutionalised and internalised values of many Indonesian newspaper publications. Through interviews with journalists who work for new and reestablished newspapers in Indonesia, this article will explain how the practice has evolved, and how it persists today. While the main agent of pressure during Indonesia’s New Order regime was the government, today the owners of newspapers are powerful ﬁgures who exert their inﬂuence and hinder the autonomy of Indonesian journalists.",en
71,2012,political_science_ir,Regulative,Adapting Social Spam Infrastructure for Political Censorship,"Thomas, Kurt; Grier, Chris; Paxson, Vern",KADT4PI9,"As social networks emerge as an important tool for political engagement and dissent, services including Twitter and Facebook have become regular targets of censorship. In the past, nation states have exerted their control over Internet access to outright block connections to social media during times of political upheaval. Parties without such capabilities may however still desire to control political expression. A striking example of such manipulation recently occurred on Twitter when an unknown attacker leveraged 25,860 fraudulent accounts to send 440,793 tweets in an attempt to disrupt political conversations following the announcement of Russia’s parliamentary election results.",en
68,2012,computer_science_ai,Regulative,Inferring Mechanics of Web Censorship Around the World,"Verkamp, John-Paul; Gupta, Minaxi",2FC9J5NR,"While mechanics of Web censorship in China are well studied, those of other countries are less understood. Through a combination of personal contacts and Planet-Lab nodes, we conduct experiments to explore the mechanics of Web censorship in 11 countries around the world, including China. Our work provides insights into the diversity of modus operandi of censors around the world and can guide future work on censorship evasion.",en
66,2012,communication_media_studies,Regulative,You Can't Read This Book: Censorship in an Age of Freedom.,N Cohen,UGJY34BA,You Can't Read This Book: Censorship in an Age of Freedom. - Document - Gale Literature Resource Center … You Can't Read This Book: Censorship in an Age of Freedom …,en
23,2012,history_book_history,Regulative,Cães de guarda: jornalistas e censores,Kushnir Beatriz,IRVOVI6D,,pt
16,2012,communication_media_studies,Regulative,Modalidades de participação política em websites eleitorais: uma análise de fóruns de discussão com uma proposta metodológica,S Iasulaitis,IHGDPG93,"… Nesta investigação, entendemos que o moderador no papel de gestor procede no sentido … o debate especialmente atento quanto ao foco, cronogramas e lista de tarefas. O moderador …",pt
14,2012,history_book_history,Regulative,La censura després dels censors: algunes reflexions sobre aspectes no resolts de l’herència cultural del franquisme,"Cornellà-detrell, Jordi",8T9S5CCN,"The intention of this article is to challenge current trends in the study of censorship under Franco by focusing on two case studies: Ian Fleming’s Dr. No and James M. Cain The Postman Always Rings Twice. As will be demonstrated, the detailed analysis of the censorship files and the history of production of these novels provide enlightening insights into the functioning of the Spanish and Catalan book industry in the 1960s. The goal is twofold: first, to demonstrate the key role of translation in the Catalan cultural recovery of the 1960s; second, to prove that the impact of censorship on the Catalan and Spanish publishing industry extends well beyond Franco’s regime, because publishers are still reissuing works that were expurgated by the censors.",en
13,2012,censorship_studies,Regulative,A discussão da visibilidade ea revisão da censura na esfera pública,I Paganotti,ALND6D3K,"… censura que instituem estratégias de controle da comunicação. Para isso, discute-se inicialmente uma definição da censura … A tipologia da censura contemporânea proposta baseia-se …",pt
11,2012,censorship_studies,Regulative,"Censura: ensaio sobre a""servidão imaginária""",A Nodari,Z84ZG2CU,… que a censura constitui a origem deste enlaçamento entre os hábitos e o poder: a censura seria … Dito de outro modo: seria a censura que funda e rege a “lei filosófica” mencionada por …,pt
8,2012,arts_literary_cultural_studies,Regulative,Entre censure et autocensure littéraire en Roumanie : L’odyssée d’un journal intime à l’époque communiste,"Rădulescu, Anda",NJAFAUU8,"Nous nous proposons d’étudier les manifestations de censure et d’autocensure dans le journal intime du professeur Paul Miclău rédigé et initialement traduit à l’époque du totalitarisme communiste en Roumanie. Ce journal a connu une histoire hors du commun. Voulant se protéger des autorités censurantes, Paul Miclău l’a tout d’abord écrit en français en 1985. Ensuite, afin de le faire publier sous le régime communiste (en 1989), il l’a traduit en roumain et a dû le censurer. La version roumaine intégrale n’a été publiée que tardivement, en 1994. De même, l’original français n’est paru en France qu’en 1995. Miclău explique que la censure et l’appareil de répression sur lequel elle s’appuyait ont amoindri son autorité en tant qu’auteur du texte. De sa propre initiative ou sur le conseil d’autrui, il a dû retirer de l’original certains mots ou fragments de longueur variable pouvant choquer les autorités. De plus, la censure officielle coupait ou supprimait des paragraphes entiers portant sur certaines réalités d’ordre politique, social, économique, religieux ou sexuel que les autorités communistes considéraient comme irrecevables lorsqu’insuffisamment atténuées. Une comparaison de l’original écrit en français et de l’autotraduction intégrale en roumain avec la première autotraduction produite en Roumanie à la fin des années 1980 permet de constater que l’autorité de Paul Miclău en tant qu’auteur avait été amoindrie, puisqu’il lui a fallu réécrire son oeuvre en tenant compte du contexte censurant qui en a autorisé la publication. Or, quoique diminuée, cette autorité n’avait pas été éliminée. , The purpose of our paper is to study manifestations of censorship and self-censorship in Paul Miclău’s journal written and initially translated during the period of communist totalitarianism in Romania. This journal has had a fascinating story. It was written in French in 1985. In order for it to be published under the communist regime in 1989, the author self-translated it into Romanian and censored it. The uncensored Romanian version appeared later, in 1994, and the original French version was printed in France in 1995. Miclău explains that repressive censorship contributed to diminishing his authority as the author of his work. On his own initiative or on the advice of others, he had to suppress words or passages of variable length from the original text so that his work could be published. Censorship concealed political, social, economic, religious or sexual realities through attenuation, deletion of words and expressions, even the cutting of entire paragraphs. Comparing the original French and uncensored Romanian text with the first Romanian self-translation reveals that Paul Miclău’s journal was no longer the unique product of his literary self-expression, rather it had been rewritten in light of the censorial context that allowed it to be published. Yet, his personal stamp had not been obliterated.",fr
