ID,Date of capture,Type (contemporary name),Branch 0 (pre-section),Branch 1 (section),Branch 2 (title),Branch 3 (specifics 1),Branch 4 (specifics 2),Branch 5 (specifics 3),Technique 1,Technique 2,Technique 3,Technique 4,Technique 5
420,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Using the insignia or symbols of violent organizations to promote them,Permanent suspension,,,,
392,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Violent crimes or accidents,Remove content,Temporarily lock user of account,Permanent suspension,,
393,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Physical fights,Remove content,Temporarily lock user of account,Permanent suspension,,
394,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Physical child abuse,Remove content,Temporarily lock user of account,Permanent suspension,,
395,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail","Bodily fluids including blood, feces, semen etc",Remove content,Temporarily lock user of account,Permanent suspension,,
396,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail","Serious physical harm, including visible wounds",Remove content,Temporarily lock user of account,Permanent suspension,,
397,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Graphic violence,"Media that depicts death, violence, surgical procedures or serious injury in graphic detail",Severely injured or mutilated animals,Remove content,Temporarily lock user of account,Permanent suspension,,
398,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,"Depictions of full or partial nudity, including close-ups of genitals, buttocks, or breats (excluding content related to breastfeeding)",Remove content,,,,
399,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,Simulated sexual acts,Remove content,,,,
400,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,"Sexual intercourse or other sexual acts -- this also applies to cartoons, hentai, or anime involving humans or depictions of animals with human-like features",Remove content,,,,
401,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Violent sexual conduct,"Any media that depicts violence, whether real or simulated, in association with sexual acts","Depictions of rape and other forms of violent sexual assault, or sexual acts that occur without the consent of participants, including a simulated lack of consent",Remove content,Permanent suspension,,,
402,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Violent sexual conduct,"Any media that depicts violence, whether real or simulated, in association with sexual acts","Sexualised violence -- inflicting physical harm on an individual within an intimate setting, where it is not immediately obvious if those involved have consented to take part",Remove content,Permanent suspension,,,
451,2019-09-11,Coordinated harmful activity,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Coordinated activity,"Attempting to artificially influence conversations through the use of multiple accounts, fake accounts, automation and/or scripting",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
452,2019-09-11,Coordinated harmful activity,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Coordinated harmful activity that encourages or promotes behavior which violates the Twitter Rules,,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
453,2019-09-11,Misleading and deceptive identities,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Operating fake accounts,"Using stock or stolen profile photos, particularly those depicting other people",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
454,2019-09-11,Misleading and deceptive identities,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Operating fake accounts,Using stolen or copied profile bios,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
455,2019-09-11,Misleading and deceptive identities,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Operating fake accounts,"Using an intentionally misleading profile information, including profile location",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
448,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Using Twitter in a manner intended to artificially amplify or suppress information or engage in behavior that manipulates or disrupts people's experience on Twitter,,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
449,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Commercially-motivated spam,"Driving traffic or attention from a conversation on Twitter to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
450,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Inauthentic engagements,Making accounts or content appear more popular or active than they are,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
456,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Using overlapping accounts,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
457,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Using mutually interacting accounts,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
458,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Creating multiple accounts to post duplicative content or create fake engagement,Posting identical or substantially similar Tweets or hashtags from multiple accounts you operate,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
459,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Creating multiple accounts to post duplicative content or create fake engagement,Engaging repeatedly with the same Tweets or accounts from multiple accounts that you operate,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
460,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially inflating your own or others' followers or engagement,Selling/purchasing Tweet or account metric inflation,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
461,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially inflating your own or others' followers or engagement,Using or promoting third-party services or apps that claim to add followers or add engagements to Tweets,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
462,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially inflating your own or others' followers or engagement,Trading or coordinating to exchange follows or Tweet engagements,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
463,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially inflating your own or others' followers or engagement,"Selling, purchasing, trading, or offering the sale, purchase, or trade of Twitter accounts, usernames, or temporary access to Twitter accounts",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
464,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Tweets and direct messages,"sending bulk, aggressive, high-volume unsolicited replies, mentions, or Direct Messages",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
465,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Tweets and direct messages,posting and deleting the same content repeatedly,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
466,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Tweets and direct messages,"repeatedly posting identical or nearly identical Tweets, or repeatedly sending identical Direct Messages",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
467,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Tweets and direct messages,"repeatedly posting Tweets or sending Direct Messages consisting of links shared without commentary, so that this comprises the bulk of your Tweet/Direct Message activity",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
468,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Following,follow churn,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
469,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Following,indiscriminate following,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
470,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Following,"duplicating another account’s followers, particularly using automation",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
471,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Engagement,"aggressively or automatically engaging with Tweets to drive traffic or attention to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
472,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Engagement,aggressively adding users to Lists or Moments,,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
473,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Hashtags,"using a trending or popular hashtag with an intent to subvert or manipulate a conversation or to drive traffic or attention to accounts, websites, products, services, or initiatives",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
474,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Hashtags,"Tweeting with excessive, unrelated hashtags in a single Tweet or across multiple Tweets",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
475,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,URLs,publishing or linking to malicious content intended to damage or disrupt another person’s browser (malware) or computer or to compromise a person’s privacy (phishing),,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
476,2019-09-11,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,URLs,"posting misleading or deceptive links; e.g., affiliate links and clickjacking links",,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
479,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,Threaten violence against an individual or a group of people,,,Report,Tweet removal,Suspension,Permanent suspension,
480,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,Inspire others to take part in similar acts of violence,,,Report,Tweet removal,Suspension,Permanent suspension,
481,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,Glorifying violent events where people were targeted on the basis of their protected characteristics,,,Report,Tweet removal,Suspension,Permanent suspension,
482,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,Glorifying events that could incite or lead to further violence motivated by hatred and intolerance,,,Report,Tweet removal,Suspension,Permanent suspension,
483,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,"Inspire others to replicate those violent acts and cause real offline harm, or events where members of a protected group were the primary targets or victims",,,Report,Tweet removal,Suspension,Permanent suspension,
484,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,"Glorify, celebrate, praise or condone violent crimes, violent events where people were targeted because of their membership in a protected group, or the perpetrators of such acts",,,Report,Tweet removal,Suspension,Permanent suspension,
485,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,"Praising, celebrating, or condoning statements, such as ""I'm glad this happened"", ""This person is my hero"", ""I wish more people did things like this"", or ""I hope this inspires others to act""",,,Report,Tweet removal,Suspension,Permanent suspension,
486,2019-10-15,Glorification of violence,Help Center,Twitter Rules & Policies,Glorification of violence policy,"Glorifying, praising, condoning, or celebrating violent acts committed by civilians that resulted in death or serious physical injury, e.g., murders, mass shootings; attacks carried out by terrorist organizations or violent extremist groups; or violent events that targeted protected groups, e.g., the Holocaust, Rwandan genocide",,,Report,Tweet removal,Suspension,Permanent suspension,
170,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,If a world leader Tweet violates the Twitter Rules but there is a public interest value to keeping the Tweet on the service,,,Context,,,,
171,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Promotion of terrorism,,,Demote,Tweet removal,,,
172,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Clear and direct threats of violence,,,Demote,,,,
173,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Posting private information (doxxing),,,Demote,,,,
174,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Posting or sharing intimate photos or videos of someone that were produced or distributed without their consent,,,Demote,,,,
175,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Engaging in behaviors relating to child sexual exploitation,,,Demote,,,,
176,2019-10-15,World leaders,Blog.twitter.com,Company,World leaders policy,Encouraging or promoting self-harm,,,Demote,,,,
177,2020-01-29,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,,,,"COVID-19 ""#KnowTheFacts"" search prompt launched",,,,
178,2020-02-04,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Synthetic or manipulated media,"Content that has been substantially edited in a manner that fundamentally alters its composition, sequence, timing, or framing;",,Label,Warning,Demote,Tweet removal,
179,2020-02-04,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Synthetic or manipulated media,Any visual or auditory information that has been added or removed,,Label,Warning,Demote,Tweet removal,
180,2020-02-04,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Synthetic or manipulated media,Fabricated or simulated media depicting a real person,,Label,Warning,Demote,Tweet removal,
181,2020-02-04,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Media shared in a deceptive manner,Deliberate intent to deceive people about the nature or origin of the content,,Label,Warning,Demote,Tweet removal,
421,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Synthetic or manipulated media that are likely to cause harm,,,Label,Warning,Demote,Context,
422,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Media that are significantly and deceptively altered or manipulated,"Content that has been substantially edited in a manner that fundamentally alters its composition, sequence, timing, or framing",,Label,Warning,Demote,Context,
423,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Media that are significantly and deceptively altered or manipulated,Any visual or auditory information that has been added or removed,,Label,Warning,Demote,Context,
424,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Media that are significantly and deceptively altered or manipulated,Fabricated or simulated media depicting a real person,,Label,Warning,Demote,Context,
425,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Media that are significantly and deceptively altered or manipulated,Wholly synthetic audio or video or content that has been doctored to change its meaning,,Label,Warning,Demote,Context,
426,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Content shared in a deceptive manner,A context in which media are shared that results in confusion or misunderstanding or suggests a deliberate intent to deceive people about the nature or origin of the content,,Label,Warning,Demote,Context,
427,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Tweets that share synthetic or manipulated media that are likely to cause serious harm,Threats to the physical safety of a person or group,,Label,Warning,Demote,Context,
428,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Tweets that share synthetic or manipulated media that are likely to cause serious harm,Risk of mass violence or widespread civil unrest,,Label,Warning,Demote,Context,
429,2020-02-22,Synthetic and manipulated media,Help Center,Twitter Rules & Policies,Synthetic and manipulated media,Tweets that share synthetic or manipulated media that are likely to cause serious harm,Threats to the privacy or ability of a person or group to freely express themselves or participate in civic events,,Label,Warning,Demote,Context,
380,2020-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin",Photoshopped references to a mass murder that targeted a protected category,Warning message,Remove imagery,Permanent suspension,,
183,2020-03-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Broadened definition of ""harm""",Content that goes directly against guidance from authoritative sources of global and local public health information,,Label,Tweet removal,,,
184,2020-03-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Broadened definition of ""harm""",Denial of global or local health authority recommendations to decrease someone's likelihood of exposure to COVID-19,,Label,,,,
185,2020-03-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Broadened definition of ""harm""",Alleged cures for COVID-19 that are not immediately harmful but are known to be ineffective,,Label,,,,
186,2020-03-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Broadened definition of ""harm""",Harmful treatments or protection measures that are known to be ineffective,,Label,,,,
187,2020-03-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Broadened definition of ""harm""",Denial of established scientific facts about transmission during the incubation period or transmission guidance from global and local health authorities,,Label,,,,
188,2020-04-11,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Unverified claims that have the potential to incite people to action, could lead to the destruction or damage of critical infrastructure, or cause widespread panic/social unrest",,,Tweet removal,,,,
190,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Tweets that are an assertion of fact (not an option), expressed definitely, and intended to influence others' behavior","the origin, nature, and characteristics of the virus;",,Label,Tweet removal,,,
191,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Tweets that are an assertion of fact (not an option), expressed definitely, and intended to influence others' behavior","preventative measures, treatments/cures, and other precautions;",,Label,Tweet removal,,,
192,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Tweets that are an assertion of fact (not an option), expressed definitely, and intended to influence others' behavior","the prevalence of viral spread, or the current state of the crisis;",,Label,Tweet removal,,,
193,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Tweets that are an assertion of fact (not an option), expressed definitely, and intended to influence others' behavior","official health advisories, restrictions, regulations, and public-service announcements;",,Label,Tweet removal,,,
194,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Tweets that are an assertion of fact (not an option), expressed definitely, and intended to influence others' behavior",how vulnerable communities are affected by/responding to the pandemic.,,Label,Tweet removal,,,
195,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Tweets considered misleading by subject-matter experts and that include information shared in a way that could confuse or deceive people,"Significantly altered, manipulated, doctored or fabricated contents",,Label,Tweet removal,,,
196,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Tweets considered misleading by subject-matter experts and that include information shared in a way that could confuse or deceive people,Claims presented improperly or out of context,,Label,Tweet removal,,,
197,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Tweets considered misleading by subject-matter experts and that include information shared in a way that could confuse or deceive people,Claims shared in a Tweet widely accepted by experts to be inaccurate or false,,Label,Tweet removal,,,
198,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Information that may increase the likelihood of exposure to the virus,,,Label,Tweet removal,,,
199,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Information that may have adverse effects on the public health system's capacity to cope with the crisis,,,Label,Tweet removal,,,
200,2020-07-14,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Tweets that could lead to discrimination and avoidance of communities and/or places of business based on their perceived affiliation with protected groups,,,Label,Tweet removal,,,
477,2020-09-18,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Creating multiple accounts to post duplicative content or create fake engagement,"Coordinating with others to engage in or promote violations of the Twitter Rules, including violations of our abusive behavior policy",Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
478,2020-09-18,Platform manipulation and spam,Help Center,Twitter Rules & Policies,Platform manipulation and spam policy,Artificially amplifying or disrupting conversations through the use of multiple accounts,Creating multiple accounts to post duplicative content or create fake engagement,Coordinating with or compensating others to engage in artificial engagement or amplification,Anti-spam challenges,Denylisting URLs,Tweet removal,Permanent suspension,
201,2020-09-30,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Misleading information about outcomes,"disputed claims that could undermine faith in the process itself, such as unverified information about election rigging, ballot tampering, vote tallying, or certification of election results; and",,Label,Tweet removal,,,
202,2020-09-30,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Misleading information about outcomes,"misleading claims about the results or outcome of a civic process which calls for or could lead to interference with the implementation of the results of the process, e.g. claiming victory before election results have been certified, inciting unlawful conduct to prevent the procedural or practical implementation of election results (note that our violent threats policy may also be relevant for threats not covered by this policy).",,Label,Tweet removal,,,
500,2020-09-30,Civic integrity,Help Center,Twitter Rules & Policies,Election integrity policy,Misleading information about outcomes,"Disputed claims that could undermine faith in the process itself, such as unverified information about election rigging, ballot tampering, vote tallying, or certification of election results",,Label,Tweet removal,,,
501,2020-09-30,Civic integrity,Help Center,Twitter Rules & Policies,Election integrity policy,Misleading information about outcomes,"Misleading claims about the results or outcome of a civic process which calls for or could lead to interference with the implementation of the results of the process, e.g. claiming victory before election results have been certified, inciting unlawful conduct to prevent the procedural or practical implementation of election results",,Label,Tweet removal,,,
203,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,false or misleading information about the nature of the virus,transmission of the virus,,Label,Tweet removal,,,
204,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,false or misleading information about the nature of the virus,susceptibility of the virus,,Label,Tweet removal,,,
205,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,false or misleading information about the nature of the virus,symptoms commonly associated with the virus,,Label,Tweet removal,,,
206,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,false or misleading information about the nature of the virus,the pandemic or COVID019 vaccines,,Label,Tweet removal,,,
207,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,type of rhetoric,"advance a claim of fact, expressed in definitive terms",,Label,Tweet removal,,,
208,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,type of rhetoric,"be demonstrably false or misleading, based on widely available, authoritative sources",,Label,Tweet removal,,,
209,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,type of rhetoric,be likely to impact public safety or cause serious harm,,Label,Tweet removal,,,
210,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the efficacy and/or safety of preventative measures, treatments, or other precautions to mitigate or treat the disease","The safety or efficacy of treatments or preventative measures that are not approved by health authorities, or that are approved by health authorities but not safe to administer from home",,Label,Tweet removal,,,
211,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the efficacy and/or safety of preventative measures, treatments, or other precautions to mitigate or treat the disease",The sale or facilitation of medicines or drugs that require a prescription or physician consultation,,Label,Tweet removal,,,
212,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the efficacy and/or safety of preventative measures, treatments, or other precautions to mitigate or treat the disease","Adverse impacts or effects of receiving vaccinations, where these claims have been widely debunked",,Label,Tweet removal,,,
213,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the efficacy and/or safety of preventative measures, treatments, or other precautions to mitigate or treat the disease",Vaccines and vaccination programs which suggest that COVID-19 vaccinations are part of a deliberate or intentional attempt to cause harm or control populations,,Label,Tweet removal,,,
214,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about official regulations, restrictions, or exemptions pertaining to health advisories",Personal protective equipment (PPE) such as claims about the efficacy and safety of face masks to reduce viral spread;,,Label,Tweet removal,,,
215,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about official regulations, restrictions, or exemptions pertaining to health advisories","Preventative measures such as hand-washing, proper hygiene or sanitation methods, or social distancing;",,Label,Tweet removal,,,
216,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about official regulations, restrictions, or exemptions pertaining to health advisories","Local or national advisories or mandates pertaining to curfews, lockdowns, travel restrictions, quarantine protocols, innoculations, including exemptions from such advisories or mandates;",,Label,Tweet removal,,,
217,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about official regulations, restrictions, or exemptions pertaining to health advisories","How vaccines are developed, tested, and approved by official health agencies as well as information about government recommendations.",,Label,Tweet removal,,,
218,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the prevalence of the virus, or risk of infection or death.","The prevalence of the virus or the disease, such as information pertaining to test results, hospitalizations, or mortality rates;",,Label,Tweet removal,,,
219,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the prevalence of the virus, or risk of infection or death.","The capacity of the public health system to cope with the crisis, for example false information about the availability of PPE, ventilators, or doctors, or about hospital capacity;",,Label,Tweet removal,,,
220,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"False or misleading information about the prevalence of the virus, or risk of infection or death.",Research findings (such as misrepresentations of or unsubstantiated conclusions about statistical data) used to advance a specific narrative that diminishes the significance of the disease.,,Label,Tweet removal,,,
221,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,False or misleading affiliation,"fake accounts which misrepresent their affiliation, or share content that falsely represents its affiliation to a medical practitioner, public health official or agency, research institution, or that falsely suggests expertise on COVID-19 issues.",,Label,Tweet removal,,,
222,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,"Strong commentary, opinions, and/or satire",,,Make exception,,,,
223,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Counterspeech,"allow for direct responses to misleading information which seek to undermine its impact by correcting the record, amplifying credible information, and educating the wider community about the prevalence and dynamics of misleading information.",,Make exception,,,,
224,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Personal anecdotes or first-person accounts,,,Make exception,,,,
225,2020-12-16,COVID-19,Help Center,General guidelines and policies,COVID-19 misleading information policy,Public debate about the advancement of COVID-19 science and research,"debate about research related to COVID-19, such as the effectiveness of treatments and mitigation measures, so long as the claims don’t misrepresent research findings",,Make exception,,,,
365,2021-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes, promotes, incites, or expresses a desire for death, serious bodily harm, or serious disease against an entire protected category and/or individuals who may be members of that category","Hoping that an entire protected category and/or individuals who may be members of that category dies as a result of a serious disease, e.g., ""I hope all [nationality] get COVID and die.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
